"","Term","Type","Value"
"1",0,"SOFR",0.78
"2",0.02,"SOFR",0.7815
"3",0.04,"SOFR",0.7816
"4",0.06,"SOFR",0.7891
"5",0.08,"SOFR",0.966
"6",0.17,"SOFR",1.13033
"7",0.25,"SOFR",1.3465
"8",0.33,"SOFR",1.4815
"9",0.42,"SOFR",1.61852
"10",0.5,"SOFR",1.753
"11",0.58,"SOFR",1.8776
"12",0.67,"SOFR",1.9825
"13",0.75,"SOFR",2.08885
"14",0.83,"SOFR",2.16855
"15",0.92,"SOFR",2.2456
"16",1,"SOFR",2.31495
"17",1.5,"SOFR",2.54792
"18",2,"SOFR",2.61678
"19",3,"SOFR",2.6224
"20",4,"SOFR",2.6025
"21",5,"SOFR",2.58872
"22",6,"SOFR",2.5835
"23",7,"SOFR",2.58275
"24",8,"SOFR",2.5855
"25",9,"SOFR",2.5906
"26",10,"SOFR",2.60455
"27",12,"SOFR",2.63215
"28",15,"SOFR",2.6595
"29",20,"SOFR",2.6445
"30",25,"SOFR",2.56498
"31",30,"SOFR",2.47925
"32",40,"SOFR",2.28765
"33",50,"SOFR",2.083
"34",0,"ZERO",0.79082
"35",0.02,"ZERO",0.79229
"36",0.04,"ZERO",0.79234
"37",0.06,"ZERO",0.79988
"38",0.08,"ZERO",0.97898
"39",0.17,"ZERO",1.14493
"40",0.25,"ZERO",1.36286
"41",0.33,"ZERO",1.49826
"42",0.42,"ZERO",1.63539
"43",0.5,"ZERO",1.76943
"44",0.58,"ZERO",1.89303
"45",0.67,"ZERO",1.9966
"46",0.75,"ZERO",2.10096
"47",0.83,"ZERO",2.17865
"48",0.92,"ZERO",2.25333
"49",1,"ZERO",2.31998
"50",1.5,"ZERO",2.55922
"51",2,"ZERO",2.62225
"52",3,"ZERO",2.62676
"53",4,"ZERO",2.60565
"54",5,"ZERO",2.59108
"55",6,"ZERO",2.58551
"56",7,"ZERO",2.58473
"57",8,"ZERO",2.5877
"58",9,"ZERO",2.59331
"59",10,"ZERO",2.6088
"60",12,"ZERO",2.63967
"61",15,"ZERO",2.67043
"62",20,"ZERO",2.64967
"63",25,"ZERO",2.54568
"64",30,"ZERO",2.4326
"65",40,"ZERO",2.17749
"66",50,"ZERO",1.90384
